description,name,param,temp-class,w-typ,FID
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2009.html'>Stationsseite</a>,RhÃ´ne - Porte du Scex (2009),Temperatur,1,Fluss,2009
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2011.html'>Stationsseite</a>,RhÃ´ne - Sion (2011),Temperatur,1,Fluss,2011
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2016.html'>Stationsseite</a>,Aare - Brugg (2016),Temperatur,2,Fluss,2016
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2018.html'>Stationsseite</a>,Reuss - Mellingen (2018),Temperatur,2,Fluss,2018
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2019.html'>Stationsseite</a>,Aare - Brienzwiler (2019),Temperatur,1,Fluss,2019
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2029.html'>Stationsseite</a>,"Aare - BrÃ¼gg, Aegerten (2029)",Temperatur,2,Fluss,2029
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2030.html'>Stationsseite</a>,Aare - Thun (2030),Temperatur,2,Fluss,2030
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2033.html'>Stationsseite</a>,Vorderrhein - Ilanz (2033),Temperatur,1,Fluss,2033
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2034.html'>Stationsseite</a>,"Broye - Payerne, Caserne d 'aviation (2034)",Temperatur,1,Fluss,2034
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2044.html'>Stationsseite</a>,Thur - Andelfingen (2044),Temperatur,2,Fluss,2044
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2056.html'>Stationsseite</a>,Reuss - Seedorf (2056),Temperatur,1,Fluss,2056
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2068.html'>Stationsseite</a>,Ticino - Riazzino (2068),Temperatur,1,Fluss,2068
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2070.html'>Stationsseite</a>,"Emme - Emmenmatt, nur Hauptstation (2070)",Temperatur,1,Fluss,2070
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2084.html'>Stationsseite</a>,Muota - Ingenbohl (2084),Temperatur,1,Fluss,2084
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2085.html'>Stationsseite</a>,Aare - Hagneck (2085),Temperatur,2,Fluss,2085
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2091.html'>Stationsseite</a>,"Rhein - Rheinfelden, Messstation (2091)",Temperatur,3,Fluss,2091
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2104.html'>Stationsseite</a>,"Linth - Weesen, BiÃ¤sche (2104)",Temperatur,2,Fluss,2104
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2106.html'>Stationsseite</a>,"Birs - MÃ¼nchenstein, Hofmatt (2106)",Temperatur,2,Fluss,2106
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2109.html'>Stationsseite</a>,LÃ¼tschine - Gsteig (2109),Temperatur,1,Fluss,2109
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2112.html'>Stationsseite</a>,Sitter - Appenzell (2112),Temperatur,1,Fluss,2112
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2113.html'>Stationsseite</a>,"Aare - Felsenau, K.W. Klingnau (U.W.) (2113)",Temperatur,3,Fluss,2113
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2126.html'>Stationsseite</a>,Murg - WÃ¤ngi (2126),Temperatur,2,Fluss,2126
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2130.html'>Stationsseite</a>,Rhein (Oberwasser) - Laufenburg (2130),Temperatur,2,Fluss,2130
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2135.html'>Stationsseite</a>,"Aare - Bern, SchÃ¶nau (2135)",Temperatur,2,Fluss,2135
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2139.html'>Stationsseite</a>,Rheintaler Binnenkanal - St. Margrethen (2139),Temperatur,2,Fluss,2139
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2143.html'>Stationsseite</a>,Rhein - Rekingen (2143),Temperatur,2,Fluss,2143
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2150.html'>Stationsseite</a>,Landquart - Felsenbach (2150),Temperatur,1,Fluss,2150
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2152.html'>Stationsseite</a>,"Reuss - Luzern, GeissmattbrÃ¼cke (2152)",Temperatur,2,Fluss,2152
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2159.html'>Stationsseite</a>,"GÃ¼rbe - Belp, MÃ¼limatt (2159)",Temperatur,1,Fluss,2159
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2161.html'>Stationsseite</a>,Massa - Blatten bei Naters (2161),Temperatur,1,Fluss,2161
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2167.html'>Stationsseite</a>,"Tresa - Ponte Tresa, Rocchetta (2167)",Temperatur,3,Fluss,2167
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2170.html'>Stationsseite</a>,"Arve - GenÃ¨ve, Bout du Monde (2170)",Temperatur,1,Fluss,2170
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2174.html'>Stationsseite</a>,"RhÃ´ne - Chancy, Aux Ripes (2174)",Temperatur,2,Fluss,2174
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2176.html'>Stationsseite</a>,"Sihl - ZÃ¼rich, SihlhÃ¶lzli (2176)",Temperatur,1,Fluss,2176
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2179.html'>Stationsseite</a>,"Sense - ThÃ¶rishaus, Sensematt (2179)",Temperatur,1,Fluss,2179
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2181.html'>Stationsseite</a>,Thur - Halden (2181),Temperatur,1,Fluss,2181
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2210.html'>Stationsseite</a>,Doubs - Ocourt (2210),Temperatur,2,Fluss,2210
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2232.html'>Stationsseite</a>,Allenbach - Adelboden (2232),Temperatur,1,Fluss,2232
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2243.html'>Stationsseite</a>,"Limmat - Baden, Limmatpromenade (2243)",Temperatur,2,Fluss,2243
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2256.html'>Stationsseite</a>,Rosegbach - Pontresina (2256),Temperatur,1,Fluss,2256
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2265.html'>Stationsseite</a>,Inn - Tarasp (2265),Temperatur,1,Fluss,2265
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2269.html'>Stationsseite</a>,Lonza - Blatten (2269),Temperatur,1,Fluss,2269
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2276.html'>Stationsseite</a>,Grosstalbach - Isenthal (2276),Temperatur,1,Fluss,2276
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2282.html'>Stationsseite</a>,"Sperbelgraben - Wasen, Kurzeneialp (2282)",Temperatur,1,Fluss,2282
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2288.html'>Stationsseite</a>,"Rhein - Neuhausen, FlurlingerbrÃ¼cke (2288)",Temperatur,2,Fluss,2288
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2290.html'>Stationsseite</a>,Areuse - St-Sulpice (2290),Temperatur,2,Fluss,2290
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2307.html'>Stationsseite</a>,Suze - Sonceboz (2307),Temperatur,2,Fluss,2307
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2308.html'>Stationsseite</a>,"Goldach - Goldach, Bleiche, nur Hauptstation (2308)",Temperatur,1,Fluss,2308
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2327.html'>Stationsseite</a>,"Dischmabach - Davos, Kriegsmatte (2327)",Temperatur,1,Fluss,2327
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2343.html'>Stationsseite</a>,"Langeten - Huttwil, HÃ¤berenbad (2343)",Temperatur,1,Fluss,2343
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2347.html'>Stationsseite</a>,"Riale di Roggiasca - Roveredo, Bacino di compenso (2347)",Temperatur,1,Fluss,2347
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2351.html'>Stationsseite</a>,Vispa - Visp (2351),Temperatur,1,Fluss,2351
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2356.html'>Stationsseite</a>,"Riale di Calneggia - Cavergno, Pontit (2356)",Temperatur,2,Fluss,2356
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2366.html'>Stationsseite</a>,Poschiavino - La RÃ¶sa (2366),Temperatur,1,Fluss,2366
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2369.html'>Stationsseite</a>,"Mentue - Yvonand, La Mauguettaz (2369)",Temperatur,1,Fluss,2369
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2372.html'>Stationsseite</a>,"Linth - Mollis, LinthbrÃ¼cke (2372)",Temperatur,1,Fluss,2372
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2374.html'>Stationsseite</a>,"Necker - Mogelsberg, AachsÃ¤ge (2374)",Temperatur,1,Fluss,2374
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2386.html'>Stationsseite</a>,Murg - Frauenfeld (2386),Temperatur,2,Fluss,2386
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2392.html'>Stationsseite</a>,Rhein (Oberwasser) - Rheinau (2392),Temperatur,2,Fluss,2392
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2410.html'>Stationsseite</a>,Liechtensteiner Binnenkanal - Ruggell (2410),Temperatur,2,Fluss,2410
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2414.html'>Stationsseite</a>,"Rietholzbach - Mosnang, Rietholz (2414)",Temperatur,1,Fluss,2414
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2415.html'>Stationsseite</a>,Glatt - Rheinsfelden (2415),Temperatur,2,Fluss,2415
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2432.html'>Stationsseite</a>,"Venoge - Ecublens, Les Bois (2432)",Temperatur,2,Fluss,2432
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2433.html'>Stationsseite</a>,"Aubonne - Allaman, Le Coulet (2433)",Temperatur,2,Fluss,2433
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2434.html'>Stationsseite</a>,"DÃ¼nnern - Olten, HammermÃ¼hle (2434)",Temperatur,2,Fluss,2434
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2457.html'>Stationsseite</a>,"Aare - Ringgenberg, Goldswil (2457)",Temperatur,2,Fluss,2457
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2462.html'>Stationsseite</a>,Inn - S-Chanf (2462),Temperatur,1,Fluss,2462
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2467.html'>Stationsseite</a>,Saane - GÃ¼mmenen (2467),Temperatur,2,Fluss,2467
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2473.html'>Stationsseite</a>,"Rhein - Diepoldsau, RietbrÃ¼cke (2473)",Temperatur,1,Fluss,2473
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2481.html'>Stationsseite</a>,"Engelberger Aa - Buochs, Flugplatz (2481)",Temperatur,1,Fluss,2481
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2485.html'>Stationsseite</a>,"Allaine - Boncourt, FrontiÃ¨re (2485)",Temperatur,2,Fluss,2485
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2493.html'>Stationsseite</a>,"Promenthouse - Gland, Route Suisse (2493)",Temperatur,2,Fluss,2493
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2499.html'>Stationsseite</a>,Schlichenden BrÃ¼nnen - Muotathal (2499),Temperatur,2,Fluss,2499
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2500.html'>Stationsseite</a>,Worble - Ittigen (2500),Temperatur,2,Fluss,2500
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2604.html'>Stationsseite</a>,Biber - Biberbrugg (2604),Temperatur,1,Fluss,2604
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2606.html'>Stationsseite</a>,"RhÃ´ne - GenÃ¨ve, Halle de l 'Ã®le (2606)",Temperatur,2,Fluss,2606
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2608.html'>Stationsseite</a>,Sellenbodenbach - Neuenkirch (2608),Temperatur,1,Fluss,2608
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2609.html'>Stationsseite</a>,Alp - Einsiedeln (2609),Temperatur,1,Fluss,2609
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2612.html'>Stationsseite</a>,Riale di Pincascia - Lavertezzo (2612),Temperatur,1,Fluss,2612
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2613.html'>Stationsseite</a>,"Rhein - Weil, PalmrainbrÃ¼cke (2613)",Temperatur,3,Fluss,2613
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2617.html'>Stationsseite</a>,Rom - MÃ¼stair (2617),Temperatur,1,Fluss,2617
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2623.html'>Stationsseite</a>,Rhone - Oberwald (2623),Temperatur,1,Fluss,2623
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2634.html'>Stationsseite</a>,Kleine Emme - Emmen (2634),Temperatur,1,Fluss,2634
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2635.html'>Stationsseite</a>,"Grossbach - Einsiedeln, Gross (2635)",Temperatur,1,Fluss,2635